company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
DRREDDY,2015-03-01 00:00:00,+,-,-,Reinvestor
DRREDDY,2016-03-01 00:00:00,+,-,-,Reinvestor
DRREDDY,2017-03-01 00:00:00,+,-,-,Reinvestor
DRREDDY,2018-03-01 00:00:00,+,-,-,Reinvestor
DRREDDY,2019-03-01 00:00:00,+,-,-,Reinvestor
DRREDDY,2020-03-01 00:00:00,+,-,-,Reinvestor
DRREDDY,2021-03-01 00:00:00,+,-,-,Reinvestor
DRREDDY,2022-03-01 00:00:00,+,-,-,Reinvestor
DRREDDY,2023-03-01 00:00:00,+,-,-,Reinvestor
DRREDDY,2024-03-01 00:00:00,+,-,-,Reinvestor
EICHERMOT,2012-12-01 00:00:00,+,-,-,Reinvestor
EICHERMOT,2013-12-01 00:00:00,+,-,-,Reinvestor
EICHERMOT,2014-12-01 00:00:00,+,-,-,Reinvestor
EICHERMOT,2016-03-01 00:00:00,+,-,-,Reinvestor
EICHERMOT,2017-03-01 00:00:00,+,-,+,Mixed
EICHERMOT,2018-03-01 00:00:00,+,-,-,Reinvestor
EICHERMOT,2019-03-01 00:00:00,+,-,-,Reinvestor
EICHERMOT,2020-03-01 00:00:00,+,-,-,Reinvestor
EICHERMOT,2021-03-01 00:00:00,+,-,-,Reinvestor
EICHERMOT,2022-03-01 00:00:00,+,-,-,Reinvestor
EICHERMOT,2023-03-01 00:00:00,+,-,-,Reinvestor
EICHERMOT,2024-03-01 00:00:00,+,-,-,Reinvestor
GAIL,2013-03-01 00:00:00,+,-,+,Mixed
GAIL,2014-03-01 00:00:00,+,-,-,Reinvestor
GAIL,2015-03-01 00:00:00,+,-,-,Reinvestor
GAIL,2016-03-01 00:00:00,+,-,-,Reinvestor
GAIL,2017-03-01 00:00:00,+,-,-,Reinvestor
GAIL,2018-03-01 00:00:00,+,-,-,Reinvestor
